Name,Number of Reviews,Stars Given,Relative Date,Review,Likes,Responce
Danilo Kocic,12,"Rated 5.0 out of 5,",a week ago,What an incredible first time VR experience. Highly recommend to everyone!! Will be a returning customer for sure,0,
trevon Reid,3,"Rated 5.0 out of 5,",a week ago,"friendly staff,",0,
Ethan Lam,1,"Rated 5.0 out of 5,",2 weeks ago,"Fun games, all games I played were shooter games. Graphics were all right.",0,
Kate Gibson,4,"Rated 5.0 out of 5,",2 weeks ago,"My brother and I spent our first couple of hours here this year. First ever VR experience for me and we had the best time!!! Will definitely be back. Amazing staff, awesome games.",0,
Alexandra Young,29,"Rated 5.0 out of 5,",2 weeks ago,Came here with my team from work. Two hours well spent! Lots of game selection,0,
Amandip Poonia,2,"Rated 5.0 out of 5,",2 weeks ago,,,
Amit Shteyer,4,"Rated 5.0 out of 5,",2 weeks ago,Great place for team building. Lots of mini games and also an escape room option. Very private experience for a group.,0,
Frank Z,3,"Rated 5.0 out of 5,",2 weeks ago,Fun experience and friendly staff,0,
Mark Truman,2,"Rated 5.0 out of 5,",3 weeks ago,"It was very fun and interactive. A great experience, definitely recommend.",0,
Salem Nassif,12,"Rated 5.0 out of 5,",a month ago,"Overall, VR Noble is a fantastic place for both seasoned gamers and newcomers to virtual reality. I highly recommend it to anyone looking for a unique and thrilling gaming adventure. I'll definitely be returning soon!",0,
Ahmad,11,"Rated 5.0 out of 5,",a month ago,"Very first time trying Vr , very fun and a great host. Not lots to do in mississauga. Will definitely be back to play again",0,
Aayush Sharma,30,"Rated 2.0 out of 5,",a month ago,,5,"Thank you for taking your time to share your experience. We genuinely appreciate your feedback. While we are sorry to hear that your visit did not meet your expectations, there are a few things that we would like to clarify:' '1) In addition to our big game space, our game selection is over 55 (100+ all devices considered, https://vrnoble.com/contents-best-vr-game-2022/) while all other arcades provide less than 50. We do not know where your comment ""The selection of games is tiny compared to other vr arcades"" came from?' '2) The package you insisted on selecting against our advice is indeed not suitable for a group of 3 kids and one of them 7-year-old, which you lied over the phone saying only 1 7-yr-old kid. We understand that not every customer has previous VR experience(which you stated you all had). We spent lots of time providing guidance throughout the entire game session. We even upgraded your package for free. Everybody in your group said they had a great time and were happy with our service and the upgrade too at the time.' ""3) Please understand that different packages offer different hardwares/games and services. Please select the package with the racing sets if that's what you prefer to use."" '4) Please do not tell me an affordable price is not what you, as a customer, do not want, and you want to be charged more. Thanks for you generous gesture of offering. However, we aim to keep our commitment of providing the best VR services in GTA to our customers, as well as at the best prices (most affordable).' '4) We feel that your 2 star rating and omitting important facts is very unfair to us and being very ungrateful. However, everybody is different, we wish you good luck."
John renzo Abiera,9,"Rated 2.0 out of 5,",2 months ago,"Overall, worst VR experience. It was definitely not worth $100 for the hour.",3,"Thank you for taking the time to share your experience. We genuinely appreciate your feedback and are sorry to hear that your visit did not meet your expectations.' ""Regarding the calibration issue, it seems there was a persistent misunderstanding from a non-technical customer. The calibration process aligns the VR experience within a typical +/- 10-degree range based on the initial head orientation accuracy. This slight variation is usually imperceptible during gameplay, or when perceptible when distance is large, it won't causing players to bump into each other."" 'Our staff is committed to ensuring the best experience. During your session, you expressed satisfaction and appreciation, and no additional issues were reported at that time. We always encourage our guests to communicate any ongoing problems immediately so we can address them promptly.' 'We strive to provide a seamless and enjoyable VR experience and will use your feedback to improve our services. We hope you might consider giving us another chance in the future to demonstrate the quality experience we aim to deliver. Thank you again for your constructive comments."
Cait H,6,"Rated 2.0 out of 5,",2 months ago,,4,"Thank you for your feedback. We are sorry to hear about your experience and appreciate the opportunity to address your concerns.' 'Game Selection: It appears there was a misunderstanding regarding the game selection. While our website does showcase a wide variety of games, not all of them are available as free-roaming experiences. For the Free-roaming games package you selected are limited to six specific titles, from which we selected the best four for your session. We aim to provide the most engaging and enjoyable experiences, and we apologize if this was not clearly communicated.' ""Calibration and Setup: The calibration process aligns with the game developer's design, utilizing four cameras to sense orientation. Typically, the calibration is accurate within a +/- 10-degree range. This slight deviation is generally only perceptible when players are beyond a good distance. When you are at distance, you won't possibly have any physical contact. While we acknowledge your concern, the calibration was within standard operational limits. Our staff was nearby throughout your session, and we encourage guests to reach out directly during gameplay. Furthermore, you expressed satisfaction post-session, which suggests a more immediate communication could have helped address these concerns effectively."" 'We value your feedback and are committed to improving our services. Should you give us another chance, we would be more than happy to ensure a more tailored and seamless VR experience for you and your partner. Thank you for bringing this to our attention."
Ashley Girgis,11,"Rated 3.0 out of 5,",2 months ago,A unique experience but wish there were more multiplayer options and easier set up or adapting to the game. Try super hot and face your fears and look around for things to grab,0,"Thank you for your feedback! We're pleased you enjoy our platform, especially your preference of the multiplayer options that have already made up over half of our games. While game design and ease of use are primarily handled by the developers and software companies we partner with, we hope to select games with greater gaming experience in the future. Thank you for choosing us, and we look forward to your continued enjoyment!"
Malcolm Djiadeu,8,"Rated 5.0 out of 5,",2 months ago,Great experience. Very immersive. Would recommend again and again.,0,
Ryan Harkins,6,"Rated 5.0 out of 5,",2 months ago,,0,
Heeya Jolly,15,"Rated 4.0 out of 5,",2 months ago,,0,
Rob Harrison,8,"Rated 5.0 out of 5,",3 months ago,13 y.o kids birthday for 7.   The kids had a blast!!  Definitely recommend.,0,
Leticia Ly,3,"Rated 2.0 out of 5,",3 months ago,,3,"Thank you for your feedback on your experience. I appreciate the opportunity to address your concerns:' 'Sanitation: All headsets are thoroughly sanitized before being provided to any customer. We utilized unused backup headsets for your session to expedite the process. These were prepared in advance and cleaned while you were engaged with the games, which is why you didn’t see us performing the sanitation.' 'Gameplay Guidance: Our role is to provide the venue, equipments, and software needed for a great gaming experience; However, solving the escape room puzzles/games is up to the players. Calibration was not an issue because the game progressed without using the new calibration. Our approach ensures that everyone can enjoy the challenge and satisfaction of figuring out the puzzles independently.' 'Overall Experience: It appears that out of the eight games you played, there was only one game that did not meet your expectations, based on your review, and we gave you extra 30 minutes. We strive to ensure every player has a positive experience, and we regret that this was not fully achieved in your case.' 'We always aim to provide the best possible service and gaming experience, and we value all feedback as it helps us improve. Thank you for visiting us and sharing your thoughts."
Thursday Jay,9,"Rated 4.0 out of 5,",3 months ago,Very fun games and great host! came for my bday and didnt regret! Wish there were more multiplayer games tho,0,
Abreenah Hamblett,4,"Rated 5.0 out of 5,",3 months ago,"Really fun experience at VR Noble! There are multiple rooms, so multiple spaces for you and friends to play games with each other",0,
Meky Hsu,3,"Rated 5.0 out of 5,",3 months ago,Very nice service and location! Will recommend.,0,
savleen kaur,8,"Rated 5.0 out of 5,",3 months ago,You need to visit this place to enjoy VR gaming and definitely recommended.,0,
Harman Kochhar,17,"Rated 5.0 out of 5,",3 months ago,It was my first experience with the VR game and was an awesome experience. Must recommended.,0,
Diljot Kochhar,6,"Rated 5.0 out of 5,",3 months ago,It was an amazing experience. We did it for the first time and loved the experience. Highly recommended.,0,
Ding Ding Muzik,3,"Rated 5.0 out of 5,",4 months ago,,0,
Evolving Events,1,"Rated 5.0 out of 5,",4 months ago,"Amazing experience, I never did anything like this before. The staff was very knowledgeable and answered all of our questions. Made us feel very welcomed. We will definitely be back and bring out friends and family along",0,
D WM,9,"Rated 5.0 out of 5,",4 months ago,,,
E Godfrey,1,"Rated 5.0 out of 5,",4 months ago,Variety of fun games for the teen/tween age.,0,
Richard Maharaj,24,"Rated 5.0 out of 5,",4 months ago,Great experience!,0,
K M (Kbby),1,"Rated 5.0 out of 5,",4 months ago,,,
Vaidehi Patel,1,"Rated 5.0 out of 5,",5 months ago,,,
Abhi Patel,1,"Rated 5.0 out of 5,",5 months ago,,,
Sam Z,3,"Rated 5.0 out of 5,",5 months ago,,,
Zweihander,2,"Rated 5.0 out of 5,",5 months ago,"Awesome (curated) procession of games. Archery tower defense one was the best. Nice fella working hard to help us little babies fiddle with the apparatus, made stuff real easy. Might be biased since I was there with my gf AND winning the most, but worth the big bucks.",0,
Brett Whalen,4,"Rated 4.0 out of 5,",5 months ago,,,
abrham agi,212,"Rated 1.0 out of 5,",5 months ago,I don't like the service you have to pay for one hour minimum,0,
Trevor Guy,2,"Rated 5.0 out of 5,",6 months ago,,,
Colin Phan,39,"Rated 2.0 out of 5,",6 months ago,,4,"The VR headset has a proximate sensor inside that needs to touch your skin on your forehead. If you constantly took the headset off and/or blocked the sensor by hair/sweet, the headset would think it went idle and slept into black. Even if we helped you to wake it up several times, eventually the player needs to learn how to use the device by himself. You did well most of the time. Hope we all can do better next time. "
Maddie Neufeld,1,"Rated 5.0 out of 5,",6 months ago,"Went with a group of friends, so much fun!",0,
Wael Zayd,9,"Rated 5.0 out of 5,",6 months ago,Great experience and great staff,0,
Sheila B,5,"Rated 5.0 out of 5,",6 months ago,"We came here for my son's birthday. It was an amazing time, they even upgraded us to the free roaming room. I would definitely recommend coming here and trying the VR experience. It's definitely a place I would come again with my family and friends.",0,
sai nareddi,3,"Rated 4.0 out of 5,",6 months ago,,,
teelow,3,"Rated 5.0 out of 5,",7 months ago,,0,
Lindsay Allen,14,"Rated 5.0 out of 5,",7 months ago,Fun games!,0,
reanna frois,1,"Rated 5.0 out of 5,",7 months ago,Really fun unique experience for a great price!,0,
Sean Borden,4,"Rated 5.0 out of 5,",7 months ago,"Lots of fun, tons of good games to test out VR if you're looking to get one",0,
Pamela Rodrigues,3,"Rated 1.0 out of 5,",7 months ago,"Wowzers. I guess the one star is for it being open. Other than that what a very strange experience that was with who I hope is the owner because an employee could never dare treat a customer like that. From the very obvious annoyance of my even being there to the ""we don't take responsibility of anyone's safety"" I don't know where to start.  I asked very simple questions being that I have never done vr about a party of young boys costing me 600 dollars.  About the process of the gaming,  the safety and God forbid I asked how many staff would be here.  I partly asked these questions because the reviews spoke about the lack of staff knowledge.  Lol. He pretty much told me I didn't have the right to ask such questions. I am in the parking lot in awe of what just transpired.  How do people run business like this. A huge no to this place. Unfortunately cuz these places only survive by word of mouth.  And especially among moms like me with 4 kids looking for a bday party every few months with lots of friends doing the same.  Good luck",4,
Derek Smith,6,"Rated 5.0 out of 5,",8 months ago,Had my son's 13th birthday here...10 kids had a blast.  Thanks for everything.,0,
Atif R,20,"Rated 5.0 out of 5,",8 months ago,,,
Tony Lotito,23,"Rated 5.0 out of 5,",8 months ago,"Great fun, kid loved it.",0,
Jake Francis,4,"Rated 5.0 out of 5,",8 months ago,Very friendly staff and fun games,0,
