Name,Number of Reviews,Stars Given,Relative Date,Review,Likes,Responce
Kershawn Brown,1,"Rated 5.0 out of 5,",3 days ago,Cindy was the best and so was Dead Valley.,0,
Terrence Kimble,23,"Rated 5.0 out of 5,",5 days ago,,,
Branislav Kovacik,25,"Rated 3.0 out of 5,",6 days ago,,0,
Max Sindrome,2,"Rated 5.0 out of 5,",2 weeks ago,,,
Rajendra Shah,58,"Rated 5.0 out of 5,",2 weeks ago,,,
Tamara Williams-Martin,34,"Rated 3.0 out of 5,",2 weeks ago,,,
Martin Ayotte Cummings,105,"Rated 4.0 out of 5,",2 weeks ago,It was an awesome activity to do with friends.,0,
Thea Logan,2,"Rated 5.0 out of 5,",3 weeks ago,One of the best experiences here! Derek was very helpful!,0,
Kajan Sri,6,"Rated 5.0 out of 5,",3 weeks ago,Derek was very helpful and explained all the instructions. My team had a great experience.,0,
T L,,"Rated 5.0 out of 5,",3 weeks ago,,,
Brett Emerson,15,"Rated 4.0 out of 5,",3 weeks ago,"Had a fantastic time with my two kids here, but at $200 for 30 minutes it's not worth repeating.",0,
Njideka Egbo,46,"Rated 5.0 out of 5,",a month ago,My favourite,0,
Alex Johnson,2,"Rated 5.0 out of 5,",a month ago,Derek was great!,0,
John Clement,3,"Rated 5.0 out of 5,",a month ago,,,
Bertha Lee,7,"Rated 5.0 out of 5,",a month ago,Seekers of the shard takes you through different maps and is very thoughtfully designed.,0,
Hardeep Chung,11,"Rated 5.0 out of 5,",a month ago,,,
Keon Priestley,58,"Rated 5.0 out of 5,",a month ago,So much fun...will definitely be back!,0,
LLminx,216,"Rated 5.0 out of 5,",a month ago,,0,
Josh Hebblethwaite,35,"Rated 5.0 out of 5,",a month ago,,,
Sade Euzebe,89,"Rated 5.0 out of 5,",a month ago,"Loads of fun. Great customer service. The game time flies by but it's an amazing experience. Since we were celebrating a birthday, we got a VR party after the game, which was a fun surprise.  We got 3 videos sent to us afterwards. The longest was 3 mins, I think. It's worth the cost. There are a lot of games so it's good for repeat visits. Heck, you could repeat the same game because it's hard to master in one visit. Highly recommended.",0,
Lucy,6,"Rated 5.0 out of 5,",a month ago,So fun! Would definitely come back here again,0,
Parker O'Neill,23,"Rated 5.0 out of 5,",a month ago,,,
Roopali Taluja,102,"Rated 5.0 out of 5,",a month ago,Great experience. Me and friend did their deadwood valley experience. It was great. Definitely recommend it to try. They even mail you video of you and friends. Thats a very cool feature to make it more memorable. Thank you such a great time.,0,
Abrianna Zamarron,9,"Rated 5.0 out of 5,",a month ago,,0,
shamma urbee,5,"Rated 5.0 out of 5,",a month ago,,,
A O,17,"Rated 4.0 out of 5,",a month ago,,,
Andrea Snider,24,"Rated 5.0 out of 5,",a month ago,Great birthday party experience! Fully interactive and fun group activity!,0,
Sarah Persaud,20,"Rated 5.0 out of 5,",a month ago,,0,
Blanks,2,"Rated 5.0 out of 5,",2 months ago,Place was amazing playing left for dead irl would go again,0,
Andrew Cardona,,"Rated 5.0 out of 5,",2 months ago,,,
Raymond Chan,5,"Rated 5.0 out of 5,",2 months ago,Derek made this the best VR experience EVER!!! SUPER INTERACTIVE AND THE ENDING RECORDINGS ARE HILARIOUS!!,0,
unfriendlykarma,1,"Rated 5.0 out of 5,",2 months ago,loved derek ! he was so nice,0,
The chemist Beats,2,"Rated 5.0 out of 5,",2 months ago,"Very swag, very much good, recommend alot",0,
David Ouyang,3,"Rated 5.0 out of 5,",2 months ago,The game is very good.  Derek is the best.,0,
Jay Z,129,"Rated 5.0 out of 5,",2 months ago,Awesome experience! Had a blast!,0,
MENGTING LI,14,"Rated 5.0 out of 5,",2 months ago,,0,
W Sheng,25,"Rated 5.0 out of 5,",2 months ago,,0,
Thomas Pang,5,"Rated 5.0 out of 5,",2 months ago,,,
Subah Noor,1,"Rated 5.0 out of 5,",2 months ago,,,
Steve Robbins,36,"Rated 5.0 out of 5,",2 months ago,,,
Bryan Schilling,34,"Rated 5.0 out of 5,",2 months ago,We had such a blast playing the game.  Staff was good at assisting us.,0,
Femi Faulkner,35,"Rated 5.0 out of 5,",2 months ago,Been here twice. Such an immersive experience,0,
Johnny J,474,"Rated 4.0 out of 5,",2 months ago,Cool place.,0,
Saurav Ranote,3,"Rated 5.0 out of 5,",2 months ago,,,
Mitch B,175,"Rated 4.0 out of 5,",2 months ago,Cool.,0,
Calvin Tse,2,"Rated 5.0 out of 5,",2 months ago,,0,
Dmitry Kolesnik,3,"Rated 2.0 out of 5,",2 months ago,On top of that everyone agreed that paying 270$ for group of 4 for just half an hour was overpriced.,1,
J G,16,"Rated 5.0 out of 5,",2 months ago,,0,
James Currie,11,"Rated 5.0 out of 5,",2 months ago,,0,
Scott G,49,"Rated 5.0 out of 5,",2 months ago,Lots of fun.,0,
